person,personLabel
http://www.wikidata.org/entity/Q1158288,दमयंती तांबे
http://www.wikidata.org/entity/Q3522120,आशीष नेहरा
http://www.wikidata.org/entity/Q3522136,मुनाफ पटेल
http://www.wikidata.org/entity/Q3525761,सुलक्षणा नाईक
http://www.wikidata.org/entity/Q3525780,अनघा देशपांडे
http://www.wikidata.org/entity/Q3397834,पूजा धंदा
http://www.wikidata.org/entity/Q3525920,हरमनप्रीत कौर
http://www.wikidata.org/entity/Q3525926,श्रावंथी नायडू
http://www.wikidata.org/entity/Q3526347,इफ्तिखार अली खान पटौदी
http://www.wikidata.org/entity/Q3526609,शिव सुंदर दास
http://www.wikidata.org/entity/Q3526637,देबाशिश मोहंती
http://www.wikidata.org/entity/Q3526655,संजय रौल
http://www.wikidata.org/entity/Q3526661,प्रज्ञान ओझा
http://www.wikidata.org/entity/Q3526701,अंजुम चोपड़ा
http://www.wikidata.org/entity/Q3521152,प्रकाश भंडारी
http://www.wikidata.org/entity/Q3521162,दीप दासगुप्ता
http://www.wikidata.org/entity/Q3521187,नरेंद्र हिरवानी
http://www.wikidata.org/entity/Q3521385,गुलाम अहमद
http://www.wikidata.org/entity/Q3521395,पियुश चावला
http://www.wikidata.org/entity/Q1061705,चंदगी राम
http://www.wikidata.org/entity/Q1088902,राहुल शर्मा
http://www.wikidata.org/entity/Q1089088,गीता फोगाट
http://www.wikidata.org/entity/Q3526852,झूलन गोस्वामी
http://www.wikidata.org/entity/Q3526928,स्नेहल प्रधान
http://www.wikidata.org/entity/Q3527012,तिरुष कामिनी
http://www.wikidata.org/entity/Q3527023,रुमेली धर
http://www.wikidata.org/entity/Q3439710,किशन लाल
http://www.wikidata.org/entity/Q3439714,जसवंत सिंह राजपूत
http://www.wikidata.org/entity/Q320626,अभिषेक नायर
http://www.wikidata.org/entity/Q328951,मैरी कॉम
http://www.wikidata.org/entity/Q337656,सोमदेव देववर्मन
http://www.wikidata.org/entity/Q3489728,सोमा बिस्वास
http://www.wikidata.org/entity/Q369702,चेतन आनंद
http://www.wikidata.org/entity/Q3350065,निरोब चौधरी
http://www.wikidata.org/entity/Q3351390,चुनी गोस्वामी
http://www.wikidata.org/entity/Q3351827,गीत सेठी
http://www.wikidata.org/entity/Q1227162,दीपिका पल्लीकल
http://www.wikidata.org/entity/Q370912,विवेक राज़दान
http://www.wikidata.org/entity/Q378384,सुशील कुमार
http://www.wikidata.org/entity/Q3527770,सदागोप्पन रमेश
http://www.wikidata.org/entity/Q3527789,अंबर रॉय
http://www.wikidata.org/entity/Q3527807,सुब्रता गुहा
http://www.wikidata.org/entity/Q3527819,कंवर राय सिंह
http://www.wikidata.org/entity/Q3527836,विजय मांजरेकर
http://www.wikidata.org/entity/Q3506857,सैय्यद अब्दुल रहीम
http://www.wikidata.org/entity/Q3518502,रवि शास्त्री
http://www.wikidata.org/entity/Q3519483,धनराज पिल्ले
http://www.wikidata.org/entity/Q3527867,हरविंदर सिंह
http://www.wikidata.org/entity/Q3527874,खेरशेद मेहरोमजी
http://www.wikidata.org/entity/Q3527886,गोपाल बोस
http://www.wikidata.org/entity/Q3527935,गुलाम परकार
http://www.wikidata.org/entity/Q3527951,जसु पटेल
http://www.wikidata.org/entity/Q3527956,ए॰ जी॰ कृपाल सिंह
http://www.wikidata.org/entity/Q3527976,अमित भण्डारी
http://www.wikidata.org/entity/Q3527985,सुरू नायक
http://www.wikidata.org/entity/Q2029850,जय भगवान
http://www.wikidata.org/entity/Q2030134,शिवा थापा
http://www.wikidata.org/entity/Q3519505,सुरेश रैना
http://www.wikidata.org/entity/Q3519679,दिनेश कार्तिक
http://www.wikidata.org/entity/Q3519764,बिशन सिंह बेदी
http://www.wikidata.org/entity/Q381138,ध्यानचंद सिंह कुशवाहा
http://www.wikidata.org/entity/Q3527128,गौहर सुल्ताना
http://www.wikidata.org/entity/Q3527347,रॉबिन सिंह (क्रिकेटर)
http://www.wikidata.org/entity/Q3527416,नरेन तह्मने
http://www.wikidata.org/entity/Q3527461,पार्थसारथी शर्मा
http://www.wikidata.org/entity/Q3527515,सी॰ आर॰ रंगाचारी
http://www.wikidata.org/entity/Q3527522,थिरुनवुक्करसू कुमारन
http://www.wikidata.org/entity/Q3527549,यशपाल शर्मा
http://www.wikidata.org/entity/Q3527596,अपूर्व सेनगुप्ता
http://www.wikidata.org/entity/Q3527608,स्टुअर्ट बिन्नी
http://www.wikidata.org/entity/Q3527610,गोपाल शर्मा
http://www.wikidata.org/entity/Q3527663,सुजीत सोमासुंदर
http://www.wikidata.org/entity/Q3528356,दत्तू फाड़कर
http://www.wikidata.org/entity/Q3528364,अजित पाई
http://www.wikidata.org/entity/Q3528372,सोराबजी कोलाह
http://www.wikidata.org/entity/Q3528391,रिद्धिमान साहा
